dbh,wood,species
4,3,C. fraseri
4,7,C. fraseri
5,7,C. fraseri
5,9,C. fraseri
5,10,C. fraseri
6,10,C. fraseri
6,10,C. fraseri
5,12,C. fraseri
6,13,C. fraseri
5,14,C. fraseri
6,16,C. fraseri
6,18,Acmena smithii
9,20,C. fraseri
8,20,C. fraseri
7,25,C. fraseri
10,29,C. fraseri
7,29,C. fraseri
8,30,C. fraseri
8,31,C. fraseri
10,35,C. fraseri
9,35,B. myrtifolia
9,40,Acmena smithii
9,42,B. myrtifolia
10,50,Acmena smithii
9,50,Acmena smithii
10,59,B. myrtifolia
11,60,B. myrtifolia
10,60,B. myrtifolia
10,70,Acmena smithii
10,77,Acmena smithii
11,84,Acmena smithii
12,85,B. myrtifolia
12,115,Acmena smithii
15,140,Acmena smithii
15,161,Acmena smithii
16,162,Acmena smithii
19,203,B. myrtifolia
20,208,B. myrtifolia
17,208,Acmena smithii
17,216,Acmena smithii
19,272,Acmena smithii
21,274,Acmena smithii
19,280,Acmena smithii
20,290,B. myrtifolia
21,293,Acmena smithii
22,320,B. myrtifolia
23,353,B. myrtifolia
22,382,Acmena smithii
22,400,Acmena smithii
23,408,Acmena smithii
26,414,B. myrtifolia
23,445,B. myrtifolia
25,506,Acmena smithii
24,508,Acmena smithii
25,510,Acmena smithii
27,540,Acmena smithii
27,550,B. myrtifolia
24,590,B. myrtifolia
31,817,Acmena smithii
37,990,B. myrtifolia
35,1090,B. myrtifolia
37,1250,B. myrtifolia
56,1500,B. myrtifolia
48,1530,Acmena smithii
